Date,High,Low,Open,Close,Volume,Adj Close
1995-01-10,13.625,13.25,13.25,13.5,26300.0,13.5
1995-01-11,13.375,13.125,13.375,13.125,19100.0,13.125
1995-01-12,13.125,12.875,13.125,13.125,55400.0,13.125
1995-01-13,13.5,13.0,13.25,13.5,11200.0,13.5
1995-01-16,13.5,13.375,13.5,13.375,18900.0,13.375
1995-01-17,14.0,13.5,13.5,14.0,23100.0,14.0
1995-01-18,14.125,13.75,13.880000114440918,13.75,81500.0,13.75
1995-01-19,13.75,13.375,13.5,13.375,58300.0,13.375
1995-01-20,13.125,12.875,13.0,13.125,17600.0,13.125
1995-01-23,13.5,13.0,13.25,13.25,15800.0,13.25
1995-01-24,13.75,13.0,13.130000114440918,13.75,38800.0,13.75
1995-01-25,13.875,13.5,13.875,13.625,18800.0,13.625
1995-01-26,13.75,13.5,13.5,13.5,23900.0,13.5
1995-01-27,14.0,13.625,13.880000114440918,13.75,5500.0,13.75
1995-01-30,14.375,13.625,13.75,14.375,25000.0,14.375
1995-01-31,14.5,14.25,14.380000114440918,14.375,13200.0,14.375
1995-02-01,14.375,14.25,14.25,14.25,12500.0,14.25
1995-02-02,14.25,14.125,14.130000114440918,14.125,6800.0,14.125
1995-02-03,14.375,14.0,14.25,14.125,11200.0,14.125
1995-02-06,14.5,14.125,14.25,14.25,23000.0,14.25
1995-02-07,15.0,14.5,14.5,14.875,26100.0,14.875
1995-02-08,15.0,14.875,15.0,15.0,13200.0,15.0
1995-02-09,14.875,14.625,14.875,14.625,10400.0,14.625
1995-02-10,15.0,14.5,14.630000114440918,15.0,20200.0,15.0
1995-02-13,15.0,14.75,15.0,15.0,27800.0,15.0
1995-02-14,15.0,14.875,14.880000114440918,15.0,7200.0,15.0
1995-02-15,14.875,14.625,14.75,14.875,12100.0,14.875
1995-02-16,14.875,14.5,14.875,14.625,9000.0,14.625
1995-02-17,15.0,14.5,14.5,15.0,23700.0,15.0
1995-02-21,14.875,14.625,14.875,14.75,8000.0,14.75
1995-02-22,14.75,14.5,14.5,14.625,11500.0,14.625
1995-02-23,15.0,14.625,14.630000114440918,15.0,31000.0,15.0
1995-02-24,15.0,14.75,14.880000114440918,14.875,21900.0,14.875
1995-02-27,15.0,14.625,14.880000114440918,15.0,20000.0,15.0
1995-02-28,15.0,14.875,14.880000114440918,15.0,12300.0,15.0
1995-03-01,15.0,14.75,15.0,14.75,9700.0,14.75
1995-03-02,14.875,14.5,14.75,14.75,12400.0,14.75
1995-03-03,14.875,14.625,14.75,14.625,22900.0,14.625
1995-03-06,14.625,14.375,14.380000114440918,14.5,5900.0,14.5
1995-03-07,14.75,14.25,14.380000114440918,14.625,11200.0,14.625
1995-03-08,14.875,14.5,14.630000114440918,14.5,27400.0,14.5
1995-03-09,14.625,14.375,14.5,14.5,13900.0,14.5
1995-03-10,14.75,14.125,14.380000114440918,14.625,61300.0,14.625
1995-03-13,14.75,14.5,14.75,14.75,5500.0,14.75
1995-03-14,14.875,14.375,14.380000114440918,14.875,22500.0,14.875
1995-03-15,14.875,14.625,14.75,14.875,7100.0,14.875
1995-03-16,14.875,14.625,14.875,14.625,8900.0,14.625
